料理名,材料,調理手順
八宝菜,鶏肉、エビ、イカ、野菜ミックス、にんにく、醤油、オイスターソース、砂糖,さまざまな具材を炒め、オイスターソースと調味料で炒める
クンパオチキン,鶏胸肉、ピーナッツ、乾燥唐辛子、にんにく、しょうが、醤油、砂糖、酢,鶏肉を一口大に切り、炒め、その後ピーナッツと調味料を加えて炒める
北京ダック,鴨肉、ホウショウ、甜麺醤、はちみつ、スパイス,鴨肉を調理して皮をパリパリに焼き、ホウショウと一緒に食べる
マーボーナス,ナス、豚ひき肉、豆板醤、醤油、にんにく、しょうが、砂糖,ナスを炒め、豚ひき肉と調味料を加えてさらに炒める
シュウマイ,豚ひき肉、えび、しいたけ、にんにく、しょうが、醤油、砂糖、オイスターソース,具材を混ぜて皮で包み、蒸し器で蒸す
ビーフン,ビーフン、豚肉、にんじん、ピーマン、しいたけ、醤油、オイスターソース,ビーフンを油で炒め、具材と調味料を加えて炒め合わせる
豚肉の紹興酒煮込み,豚肉、紹興酒、しょうが、にんにく、醤油、砂糖,豚肉を紹興酒とともに煮込み、しょうがと調味料で味付けする
鶏肉のカシューナッツ炒め,鶏胸肉、カシューナッツ、ピーマン、にんにく、しょうが、醤油、オイスターソース,鶏肉とカシューナッツを炒め、野菜と調味料で味付けする
海鮮スープ,海老、イカ、帆立、野菜ミックス、鶏ガラスープ、しょうが、醤油,鶏ガラスープで海鮮と野菜を煮込み、調味料で味付けする
五目炒飯,米、豚肉、エビ、卵、ねぎ、にんじん、オイスターソース、醤油,具材を炒めて米とともに炒め、調味料で味付けする
黒豆ゼリー,黒豆、砂糖、ゼラチン、ココナッツミルク,黒豆を煮て砂糖とゼラチンで固め、ココナッツミルクをかけて冷やす
ブイヤベース,魚介類、トマト、玉ねぎ、ニンニク、ハーブ、オリーブオイル,魚介と野菜をオリーブオイルで炒め、トマトとハーブで煮込む
コキヨット,卵、クリーム、ベーコン、マッシュルーム、チーズ,卵をクリームと混ぜ、具材を加えてココット容器で焼く
ラタトゥイユ,ズッキーニ、ナス、ピーマン、トマト、玉ねぎ、ニンニク、ハーブ,野菜をそれぞれ炒めてから一緒に煮込み、ハーブで風味付けする
クレープ,小麦粉、卵、牛乳、バター、砂糖（甘いクレープ用）、塩（塩味クレープ用）,小麦粉と卵と牛乳で生地を作り、バターで薄く焼く
ビーフブルギニョン,牛肉、赤ワイン、玉ねぎ、ニンニク、マッシュルーム、ベーコン、ハーブ,牛肉を炒め、赤ワインとハーブで煮込み、野菜を加えてさらに煮込む
クロックムッシュ,サンドウィッチブレッド、ハム、チーズ、ベシャメルソース,ブレッドにベシャメルソースとハムとチーズを挟んで焼く
ニース風サラダ,レタス、トマト、オリーブ、アンチョビ、卵、オリーブオイル、ビネガー,野菜とオリーブとアンチョビと卵を盛り付け、ドレッシングで和える
カヌレ,牛乳、バター、卵、砂糖、ラム酒、小麦粉,バターと牛乳を煮て、砂糖とラム酒と混ぜた小麦粉と卵を加えて焼く
タルトタタン,リンゴ、砂糖、バター、パイ生地,リンゴをカラメルで煮てパイ生地を被せて焼く
ガレット,そば粉、卵、ハム、チーズ、ほうれん草,そば粉の生地を作り、具材を乗せて焼く
フォアグラのテリーヌ,フォアグラ、アルマニャック、塩、胡椒、砂糖,フォアグラを調味料とアルマニャックでマリネ後、低温で調理しテリーヌ型に固める
オムレツ,卵、バター、塩、胡椒、ハーブ（オプション）,卵を混ぜ、バターを熱したフライパンで焼き、好みの具材を加える
ムール貝の白ワイン蒸し,ムール貝、白ワイン、ニンニク、玉ねぎ、パセリ,ムール貝を洗い、白ワインと香味野菜で蒸し、パセリを振る
ブールブレス,ビーフ、ポテト、ニンジン、タマネギ、キャベツ、ブーケガルニ,ビーフと野菜をブーケガルニと共に煮込むフランスの煮込み料理
クロワッサン,小麦粉、バター、イースト、砂糖、塩、水,生地を折りたたみながら発酵させ、形を整えて焼く
ソレイユ,パフペストリー、トマトソース、チーズ、ハーブ,パフペストリーを広げ、トマトソース、チーズ、ハーブでトッピング後、焼く
ラムのナヴァラン,ラム肉、野菜ミックス、白ワイン、トマトペースト、ハーブ,ラム肉と野菜を煮込み、白ワインとトマトペーストで味付け
ブイヤベース風スープ,魚介類、魚スープ、サフラン、オレンジピール、野菜,魚介類を魚スープで煮、サフランとオレンジピールで香り付け
チーズフォンデュ,エメンタールチーズ、グリュイエールチーズ、ワイン、ニンニク、白パン,チーズとワインを鍋で溶かし、ニンニクで風味付けして、パンを浸して食べる
リヨン風サラダ,フリゼサラダ、ベーコン、ポーチドエッグ、クルトン、ディジョンマスタード,サラダに炒めたベーコンとポーチドエッグをトッピング、マスタードドレッシングで味付け
バーベキューリブ,豚リブ、バーベキューソース、砂糖、パプリカ、ガーリックパウダー,リブにドライラブをまぶして一晩マリネ、スモークまたはオーブンでゆっくり焼く
マカロニアンドチーズ,マカロニ、チェダーチーズ、ミルク、バター、小麦粉,マカロニを茹でる、バターと小麦粉でルーを作り、ミルクとチーズでソースを作る
クラムチャウダー,クラム、ベーコン、ジャガイモ、玉ねぎ、クリーム、魚介スープ,ベーコンを炒め、ジャガイモと玉ねぎを加えて炒め、クラムとクリームで煮込む
ハンバーガー,ミンチビーフ、バンズ、レタス、トマト、チーズ、オニオン、ピクルス,ビーフを成形して焼き、バンズにレタス、トマト、チーズ、ピクルスと一緒に挟む
フライドチキン,鶏肉、小麦粉、パプリカ、ガーリックパウダー、塩、ペッパー、揚げ油,鶏肉を調味料混ぜた小麦粉にくぐらせて揚げる
ポテトサラダ,ポテト、マヨネーズ、マスタード、セロリ、玉ねぎ、塩、ペッパー,ポテトを茹でて切り、マヨネーズとマスタード、野菜で和える
ビスケット,小麦粉、バター、砂糖、ベーキングパウダー、ミルク,小麦粉にバターを混ぜ、ベーキングパウダーとミルクで生地を作り、焼く
ジャンバラヤ,米、チキン、ソーセージ、ピーマン、玉ねぎ、セロリ、ケイジャンスパイス,ケイジャンスパイスで味付けしたチキンとソーセージを炒め、野菜と米を加えて煮る
コーンブレッド,コーンミール、小麦粉、砂糖、塩、ベーキングパウダー、牛乳、卵,コーンミールと小麦粉、その他の材料を混ぜて生地を作り、焼く
ペカンパイ,ペカンナッツ、コーンシロップ、卵、砂糖、バター、バニラエキス,ペカンナッツとコーンシロップ、卵を混ぜたフィリングを生地に入れて焼く
パンプキンパイ,パンプキンピューレ、卵、クリーム、砂糖、パイ生地、シナモン、ナツメグ,パンプキンピューレと卵、クリーム、砂糖を混ぜてパイ生地に流し込み、焼く
コブサラダ,レタス、トマト、ベーコン、鶏肉、アボカド、ブルーチーズ、卵,レタスベースにトマト、ベーコン、鶏肉、アボカドをトッピングし、ブルーチーズドレッシングで和える
シーフードガンボ,シーフードミックス、オクラ、セロリ、玉ねぎ、ケイジャンスパイス、トマトペースト,ケイジャンスパイスで味付けしたセロリ、玉ねぎとシーフードを炒め、トマトペーストと煮込む
バッファローウィング,チキンウィング、ホットソース、バター、ガーリックパウダー,チキンウィングを揚げてからホットソースとバターで絡める
ミートローフ,牛ひき肉、パン粉、玉ねぎ、卵、ケチャップ、マスタード、ブラウンシュガー,牛ひき肉とその他の材料を混ぜて形成し、オーブンで焼く
スロッピージョー,牛ひき肉、トマトソース、玉ねぎ、パプリカ、ガーリックパウダー、バンズ,牛ひき肉と玉ねぎを炒め、トマトソースと調味料を加えて煮込み、バンズでサンドする
チキンポットパイ,鶏肉、野菜ミックス、クリーム、パイ生地,鶏肉と野菜を炒め、クリームでソースを作り、パイ生地で覆って焼く
キーウェストライムパイ,ライムジュース、卵黄、練乳、グラハムクラッカークラスト、ホイップクリーム,ライムジュースと卵黄、練乳を混ぜ、クラストに流し込み、焼いた後にホイップクリームをトッピング
リブアイステーキ,リブアイステーキ、塩、ペッパー、ガーリックパウダー,リブアイステーキを調味料でマリネ後、グリルで焼く
チェダーチーズポップコーン,ポップコーン、チェダーチーズパウダー、バター,ポップコーンを作り、溶かしたバターとチェダーチーズパウダーをかける
マルゲリータピザ,ピザ生地、モッツァレラチーズ、トマトソース、バジル,ピザ生地にトマトソースを塗り、モッツァレラチーズとバジルをトッピングして焼く
スパゲッティカルボナーラ,スパゲッティ、卵、パンチェッタ、パルメザンチーズ、黒胡椒,スパゲッティを茹でる。卵とチーズでソースを作り、茹でたパスタに炒めたパンチェッタと混ぜる
ラザニア,ラザニアシート、ボロネーゼソース、ベシャメルソース、モッツァレラチーズ、パルメザンチーズ,ラザニアシートを層にしてボロネーゼソース、ベシャメルソース、チーズを交互に重ねて焼く
ミネストローネ,野菜ミックス、トマト、セロリ、ニンジン、玉ねぎ、白いんげん豆、パスタ、ハーブ,野菜と豆を煮込み、パスタを加えて煮る。仕上げにハーブを加える
ティラミス,マスカルポーネ、卵、砂糖、エスプレッソ、レディフィンガー、ココアパウダー,マスカルポーネと卵黄でクリームを作り、エスプレッソに浸したレディフィンガーと交互に重ね、ココアパウダーを振る
オッソブーコ,子牛のすね肉、トマト、玉ねぎ、ニンニク、白ワイン、ハーブ,子牛のすね肉を炒め、野菜と共に白ワインとトマトで煮込む
ペスカトーレ,混合海鮮、トマトソース、ニンニク、白ワイン、パスタ,海鮮をニンニクとオリーブオイルで炒め、トマトソースとワインで煮込み、パスタと合わせる
フォカッチャ,小麦粉、イースト、オリーブオイル、塩、水、ハーブ,生地を作り、発酵させた後にオリーブオイルとハーブでトッピングして焼く
アマトリチャーナ,トマトソース、パンチェッタ、オニオン、ニンニク、チリ、スパゲッティ,パンチェッタとニンニク、オニオンを炒め、トマトソースとチリで味付けした後、パスタと絡める
ジェラート,牛乳、クリーム、砂糖、卵黄、フレーバー（バニラ、チョコレート、フルーツなど）,クリームと牛乳を混ぜ、砂糖と卵黄でカスタードを作り、冷やしてからジェラートマシンで仕上げる
カプレーゼサラダ,トマト、モッツァレラチーズ、バジル、オリーブオイル、バルサミコ酢,トマトとモッツァレラチーズをスライスして盛り付け、バジルとオリーブオイル、バルサミコ酢で味付け
アランチーニ,リゾットの残り、モッツァレラ、パン粉、卵、オイル,リゾットにチーズを中心に置き、丸めてパン粉をつけて揚げる
ポルペッティーニ,挽肉、パン粉、卵、パルメザンチーズ、パセリ、ニンニク,挽肉とその他の材料を混ぜて小さなボールにし、焼くまたは煮る
ガルガネッリアルラグー,ガルガネッリパスタ、牛肉ラグー、トマト、赤ワイン、オニオン,パスタを茹でる。同時にラグーを煮込み、パスタと絡める
アフォガート,エスプレッソ、バニラアイスクリーム,バニラアイスクリームに熱いエスプレッソを注ぐ
ソルトンブッカ,子牛肉、プロシュット、セージ、白ワイン、バター,子牛肉にプロシュットとセージを挟み、バターで焼き、白ワインでソースを作る
パンナコッタ,クリーム、砂糖、ジェラチン、バニラビーンズ,クリームと砂糖を煮、ジェラチンとバニラを加えて冷やし固める
フリットミスト,様々な野菜とシーフード、小麦粉、卵、揚げ油,野菜とシーフードを小麦粉と卵で衣を付けて揚げる
カチョエペペ,スパゲッティ、ペコリーノチーズ、黒胡椒、水,茹でたスパゲッティに熱いペコリーノチーズと胡椒のソースを絡める
ポルチーニリゾット,アルボリオ米、ポルチーニキノコ、玉ねぎ、白ワイン、チキンブロス、パルメザンチーズ,ポルチーニと玉ねぎを炒め、米を加えて白ワインで炒め、ブロスを少しずつ加えて炊き込む
辛子明太子パスタ,スパゲッティ、明太子、クリーム、ニンニク、唐辛子,スパゲッティを茹でる、パンでニンニクと唐辛子を炒め、クリームと明太子を加えてソースを作る
四川麻婆豆腐,豆腐、豚ひき肉、豆板醤、唐辛子、ニンニク、しょうが、醤油、鶏ガラスープ,豆腐を茹でる、ひき肉を炒め、唐辛子、豆板醤、醤油で味付けして豆腐を加える
ジャークチキン,チキン、ジャークシーズニング（オールスパイス、唐辛子、ニンニク、タイム）,チキンにジャークシーズニングを擦り込み、グリルまたはオーブンで焼く
韓国式辛いチキン,チキン、唐辛子、にんにく、醤油、砂糖、ごま油、韓国唐辛子粉,チキンを唐辛子と共に炒め、調味料を加えて辛く仕上げる
インドカレー,鶏肉、トマト、玉ねぎ、ニンニク、生姜、カレーパウダー、ココナッツミルク,カレーパウダーでスパイスを炒め、鶏肉と野菜を加えて炒め、ココナッツミルクで煮込む
タイのグリーンカレー,鶏肉、グリーンカレーペースト、ココナッツミルク、タイバジル、唐辛子、ナス,鶏肉とナスをグリーンカレーペーストで炒め、ココナッツミルクで煮込む
ビンダルー,豚肉、ビンダルー粉末、ニンニク、酢、トマト、唐辛子,ビンダルー粉末と酢でマリネした豚肉を炒め、トマトと一緒に煮込む
シンガポールチリクラブ,カニ、トマトソース、チリソース、卵、にんにく、生姜,カニを揚げてから、トマトとチリソースで煮込む
カハリゴート,ヤギ肉、ヨーグルト、玉ねぎ、トマト、ガラムマサラ、チリパウダー,ヨーグルトとスパイスに漬けたヤギ肉を炒め、トマトと玉ねぎでソースを作る
ハラペーニョポッパーズ,ハラペーニョ、クリームチーズ、ベーコン、パン粉,ハラペーニョにクリームチーズを詰め、ベーコンで巻き、パン粉をつけて焼く
クレームブリュレ,クリーム、卵黄、バニラビーンズ、砂糖,クリームとバニラを煮て卵黄と砂糖を混ぜ、オーブンで焼き、表面に砂糖を焼き固める
パンケーキ,小麦粉、卵、牛乳、砂糖、ベーキングパウダー,すべての材料を混ぜてフライパンで焼く
アップルパイ,リンゴ、小麦粉、バター、砂糖、シナモン,リンゴとシナモン、砂糖を混ぜ、パイ生地で包んで焼く
チョコレートケーキ,小麦粉、砂糖、ココアパウダー、卵、バター、ベーキングパウダー,すべての材料を混ぜて型に入れ、オーブンで焼く
マカロン,アーモンド粉、砂糖、卵白、クリーム、フレーバー（例：ラズベリー、チョコレート）,アーモンド粉と砂糖を卵白で混ぜ、焼き上げた後、クリームでサンドする
キムチ,白菜、唐辛子粉、ニンニク、生姜、魚醤,白菜を塩で漬け、洗い、唐辛子粉、ニンニク、生姜と混ぜて発酵させる
セビーチェ,白身魚、ライムジュース、タマネギ、トマト、コリアンダー,白身魚を小さく切り、ライムジュースと野菜でマリネし冷蔵する
タマリンドカレー,鶏肉、タマリンド、ココナッツミルク、カレー粉、ニンニク,タマリンドとカレー粉で味付けした鶏肉をココナッツミルクで煮込む
サワーソープ,サワーソープの実、水、砂糖、ライムジュース,サワーソープの実を水で煮て砂糖とライムジュースで甘酸っぱく仕上げる
レモンタルト,レモンカード、パイ生地、砂糖、バター、卵,レモンカードを作り、焼いたパイ生地に詰め、冷やして固める
スペイン風パエリア,米、サフラン、チキン、シーフード（エビ、ムール貝）、ピーマン、トマト,米をオリーブオイルで炒め、サフランとストックを加えて煮る。その後チキンとシーフード、野菜を加えて焼き上げる
日本のおにぎり,米、海苔、塩、お好みの具（梅、サーモン、ツナマヨ）,米を炊き、形を整えてからお好みの具を中に入れ、海苔で巻く
インドのビリヤニ,米、チキン、ヨーグルト、オニオン、トマト、カレー粉末、サフラン、ナッツ,ヨーグルトとカレー粉でマリネしたチキンを焼き、炊いたサフラン米と混ぜ合わせる
タイのマンゴー sticky rice,もち米、マンゴー、ココナッツミルク、砂糖、塩,もち米を炊き、砂糖と塩を加えたココナッツミルクで味付けする。スライスしたマンゴーと共に供する
中国の炒飯,米、卵、ネギ、豚肉またはチキン、醤油、セサミオイル,米を炒め、卵を加えて炒める。その後、ネギ、肉、醤油で味付けし、セサミオイルで風味を加える
エスカベッシュ,白身魚、ビネガー、オリーブオイル、タマネギ、ピーマン、ニンジン,魚を揚げてからビネガーと野菜のマリネに浸す
ウォルドーフサラダ,リンゴ、セロリ、クルミ、レーズン、マヨネーズ、レモンジュース,リンゴとセロリ、クルミを切ってマヨネーズとレモンジュースで和える
タブレ,ブルグル、パセリ、ミント、トマト、レモンジュース、オリーブオイル,ブルグルを水で戻し、刻んだハーブとトマトとレモンジュースで和える
センベロ,魚のフライ、タマリンドソース、チリソース、ライム,フライした魚をタマリンドとチリソースで味付けし、ライムを添える
シークワーサー鶏,鶏肉、しょうゆ、シークワーサージュース、にんにく、砂糖,鶏肉をシークワーサージュースとしょうゆ、にんにくでマリネして焼く
チキンビリヤニ,米、チキン、ヨーグルト、玉ねぎ、ニンニク、サフラン、カルダモン、ナッツ,チキンをマリネしてから米と共に炊き込み、香辛料とナッツをトッピング
リゾットアラミラネーゼ,アルボリオ米、サフラン、チキンストック、バター、パルメザンチーズ,サフランを温めたチキンストックに溶かし、米を炒めてから少しずつストックを加えて炊く
チキンアンドライス,米、チキン、醤油、にんにく、ジンジャー、スプリングオニオン,米を炊いた後、醤油とスパイスで調味したチキンと一緒に炒める
韓国のビビンバ,米、牛肉、様々な野菜（キムチ、人参、ほうれん草）、ゴチュジャン、卵,米に具材をトッピングし、ゴチュジャンと混ぜて焼く、最後に生卵をのせる
イランのタディグ,米、サフラン、バター、ヨーグルト、ニンニク,米をヨーグルトとサフランでマリネして底焦がしを作りながら炊く
パッタイ,米麺、エビ、豆もやし、卵、ピーナッツ、タマリンド、フィッシュソース,米麺を茹でて炒め、エビと豆もやしを加えてタマリンドとフィッシュソースで味付け
フェットチーネアルフレド,フェットチーネ、クリーム、バター、パルメザンチーズ、ニンニク,フェットチーネを茹でてクリームとバターでソースを作り、パルメザンチーズで仕上げる
ソバ,そば粉、冷水、わさび、つゆ（だし、しょうゆ、みりん）,そばを茹でて冷水で締め、つゆにつけてわさびを添えて食べる
ウドン,うどん、だし、しょうゆ、ねぎ、かまぼこ、天かす,うどんを茹でてだしに入れ、ねぎ、かまぼこ、天かすをトッピングして提供
シチリアンパスタ,パスタ、トマトソース、アンチョビ、オリーブ、カッパーリ,パスタを茹でてトマトソース、アンチョビ、オリーブと絡める
ラザニアスープ,ラザニアヌードル、ミートソース、チキンブロス、リコッタ、モッツァレラ,ミートソースとチキンブロスを煮込み、茹でたラザニアヌードルを加える
ヌードルサラダ,冷麺、野菜ミックス、醤油ベースドレッシング、セサミ、ナッツ,冷麺を茹で、野菜と醤油ドレッシングで和える
フィリピンのパンシット,米麺、鶏肉、野菜、醤油、レモン、ニンニク,米麺を茹でて、炒めた鶏肉と野菜をトッピングし、レモンとニンニクで味付け
ベトナムのフォー,ライスヌードル、牛肉、牛骨スープ、ハーブ、ライム,ライスヌードルを茹で、牛骨スープで提供し、ハーブとライムを添える
ビーフウェリントン,ビーフフィレ、マッシュルーム、パテ、パフペストリー,ビーフを焼き、マッシュルームとパテで包み、パフペストリーで覆って焼く
ローストチキン,チキン、レモン、ニンニク、ローズマリー、オリーブオイル,チキンをハーブとレモンでマリネし、オーブンでローストする
ポークリブ,ポークリブ、バーベキューソース、ブラウンシュガー、パプリカ、ガーリックパウダー,リブをスパイスでマリネし、低温でオーブンで焼いた後、バーベキューソースでグレーズする
タンドリーチキン,チキン、ヨーグルト、タンドリーマサラ、レモンジュース、ニンニク、ジンジャー,チキンをタンドリーマサラとヨーグルトでマリネし、オーブンで焼く
ステーキ,ステーキ肉、塩、ペッパー、ガーリックパウダー、バター,ステーキを塩とペッパーでシーズニングし、熱したパンでバターとガーリックで焼く
サーモンエンクルート,サーモンフィレ、パフペストリー、ほうれん草、クリームチーズ,サーモンをほうれん草とクリームチーズで包み、パフペストリーで覆って焼く
魚のアクアパッツァ,白身魚、トマト、オリーブ、ガーリック、オリーブオイル、ハーブ,魚をオリーブオイルとガーリックで炒め、トマトとハーブを加えて蒸し煮にする
タイのフィッシュケーキ,魚のすり身、タイの赤カレーペースト、青じそ、砂糖、魚醤,魚のすり身にカレーペーストとハーブを混ぜ、形を整えて焼く
刺身,鮪、鮭、ハマチ、大根おろし、醤油、わさび,魚を薄切りにし、大根おろしとともに提供し、醤油とわさびで食べる
モロッコの魚のタジン,白身魚、プリザーブドレモン、オリーブ、トマト、クミン、コリアンダー,魚をタジン鍋で炒め、プリザーブドレモンとトマト、ハーブで煮込む
カリフォルニアロール,寿司米、海苔、カニかま、アボカド、キュウリ、わさび,寿司米を炊いて海苔に広げ、カニかま、アボカド、キュウリを乗せて巻く
アンチョビピザ,ピザ生地、アンチョビ、モッツァレラチーズ、トマトソース,ピザ生地にトマトソースを塗り、アンチョビとモッツァレラチーズをトッピングして焼く
フィッシュアンドチップス,白身魚、小麦粉、ビール、ポテト、レモン,白身魚に小麦粉とビールで作った衣をつけて揚げ、ポテトと共に提供
マスの塩焼き,マス、塩、レモンスライス、ハーブ（例：ローズマリー）,マスに塩を振り、レモンスライスとハーブを詰めて焼く
